claim,noise,model,alpha,dimension,independent_seeds,samples_per_seed,theorem_rate,coordinate_mean,coordinate_mean_ci_low,coordinate_mean_ci_high,w1_lower,w1_lower_ci_low,w1_lower_ci_high,w1_upper,w1_upper_ci_low,w1_upper_ci_high,normalized_upper_ci
2,iid,sgd,0.08,8,4,32768,0.7143839407309892,0.0315428216424429,0.030418847295399714,0.03266679598948609,0.03464334920887692,0.03289118343460099,0.03639551498315285,0.2523425731395432,0.2433507783631977,0.2613343679158887,0.36581780890606225
3,iid,linear,0.08,8,4,32768,0.7143839407309892,0.029673426239152277,0.028622681293060157,0.030724171185244398,0.03307101396972718,0.031014690835534646,0.03512733710391971,0.23738740991321822,0.22898145034448125,0.24579336948195518,0.3440634026997423
3,iid,contractive,0.08,8,4,32768,0.7143839407309892,0.030279985752007386,0.027814023429397327,0.03274594807461744,0.0553132960483849,0.048163132943426876,0.06246345915334292,0.24223988601605909,0.22251218743517862,0.26196758459693953,0.3667041903669933
2,iid,sgd,0.04,8,4,32768,0.6437751649736402,0.019105156307401013,0.018338846818301686,0.01987146579650034,0.02225164962545294,0.021037529067967315,0.023465770182938567,0.1528412504592081,0.14671077454641349,0.15897172637200271,0.24693671800544204
3,iid,linear,0.04,8,4,32768,0.6437751649736402,0.01856979930225226,0.01773255590940192,0.0194070426951026,0.021684677456116387,0.02062635008144135,0.022743004830791426,0.14855839441801807,0.14186044727521535,0.1552563415608208,0.24116547205914332
3,iid,contractive,0.04,8,4,32768,0.6437751649736402,0.020584068539526917,0.01907825712189811,0.022089879957155723,0.03586848914492804,0.026475941529792914,0.04526103676006316,0.16467254831621533,0.1526260569751849,0.17671903965724578,0.2745042823521806
2,iid,sgd,0.02,8,4,32768,0.553243599059204,0.013164053135571957,0.012962492319291797,0.013365613951852116,0.015914159008867695,0.014381916203582043,0.01744640181415335,0.10531242508457565,0.10369993855433438,0.10692491161481693,0.19326913460299183
3,iid,linear,0.02,8,4,32768,0.553243599059204,0.01316737932834883,0.012797948410749396,0.013536810245948265,0.016061218644431923,0.01437747882615002,0.017744958462713824,0.10533903462679065,0.10238358728599517,0.10829448196758612,0.19574466320395198
3,iid,contractive,0.02,8,4,32768,0.553243599059204,0.015290374237285144,0.012458705365568472,0.018122043109001815,0.025035423261080034,0.01748625935112786,0.03258458717103221,0.12232299389828115,0.09966964292454777,0.14497634487201452,0.2620479389522955
2,iid,sgd,0.01,8,4,32768,0.4605170185988092,0.008968399845817255,0.007760143976261404,0.010176655715373106,0.01214702667565774,0.009151029597638652,0.015143023753676828,0.07174719876653804,0.06208115181009123,0.08141324572298485,0.17678661685662916
3,iid,linear,0.01,8,4,32768,0.4605170185988092,0.009245099860540116,0.00781835422930223,0.010671845491778003,0.012574626327982417,0.009566926250653945,0.01558232640531089,0.07396079888432093,0.06254683383441784,0.08537476393422402,0.1853889443521312
3,iid,contractive,0.01,8,4,32768,0.4605170185988092,0.011770050165539996,0.0099149135435426,0.01362518678753739,0.01820267471985333,0.014833854936649857,0.0215714945030568,0.09416040132431996,0.0793193083483408,0.10900149430029912,0.23669373746914327
2,iid,sgd,0.005,8,4,32768,0.3746476138764567,0.007109220664880245,0.005541627039256266,0.008676814290504225,0.01042570360323937,0.007285164094625483,0.013566243111853256,0.05687376531904196,0.04433301631405013,0.0694145143240338,0.18527947797613317
3,iid,linear,0.005,8,4,32768,0.3746476138764567,0.007589369777454943,0.005807619350011974,0.009371120204897911,0.012000752046674546,0.007340696345876336,0.016660807747472757,0.06071495821963954,0.046460954800095794,0.07496896163918329,0.20010526922481606
3,iid,contractive,0.005,8,4,32768,0.3746476138764567,0.009304101350631814,0.007100900115874748,0.01150730258538888,0.012913376788588215,0.009708208953921939,0.016118544623254488,0.07443281080505451,0.05680720092699799,0.09205842068311104,0.24572002402627902
5,markov,sgd,0.08,8,4,32768,0.7143839407309892,0.1173278815406257,0.11623011237724502,0.11842565070400639,0.12112927734965134,0.11909179569273577,0.12316675900656691,0.9386230523250056,0.9298408990179602,0.9474052056320511,1.326184914882919
