claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
4,iid,sgd,0.08,1729,axis_0,0.45,8992,32768,0.2744140625,0.2695875920920198,0.27928054866818486,0.2730088051737921,0.0014052573262078871,0.006271743494392745,1.8782496983989507,0.003339142553697135
4,iid,sgd,0.08,1729,axis_0,0.7,5883,32768,0.179534912109375,0.17539265140167146,0.1837340572436357,0.1738272400666594,0.005707672042715606,0.009906817176976307,1.2074462346850399,0.008204768785883441
4,iid,sgd,0.08,1729,axis_0,0.95,3664,32768,0.11181640625,0.10842351767154952,0.1152782721610056,0.1012327333519929,0.010583672898007102,0.0140455388090127,0.8896972255573977,0.015786874911533116
4,iid,sgd,0.08,1729,axis_0,1.2,2110,32768,0.06439208984375,0.06175795151653293,0.06710376137732327,0.05370231816512683,0.010689771678623172,0.01340144321219644,0.7043436368996066,0.019026853527331022
4,iid,sgd,0.08,1729,axis_3,0.45,7922,32768,0.24176025390625,0.2371323047247281,0.24643401921327532,0.24053995263804717,0.001220301268202828,0.005894066575228146,1.8782496983989507,0.0031380633683861844
4,iid,sgd,0.08,1729,axis_3,0.7,4746,32768,0.14483642578125,0.14104222698072336,0.14869369575622374,0.1365409844100126,0.008295441371237389,0.012152711346211126,1.2074462346850399,0.010064805369475634
4,iid,sgd,0.08,1729,axis_3,0.95,2605,32768,0.079498291015625,0.07659143184313728,0.08247994254108268,0.0684521350827646,0.011046155932860402,0.014027807458318081,0.8896972255573977,0.015766945265598218
4,iid,sgd,0.08,1729,axis_3,1.2,1232,32768,0.03759765625,0.03556387961843902,0.03971391455924163,0.03013285555817935,0.00746480069182065,0.009581059001062278,0.7043436368996066,0.013602818992212905
4,iid,sgd,0.08,1729,mean,0.45,7934,32768,0.24212646484375,0.2374960940738216,0.2468025866649928,0.24014102836435636,0.001985436479393643,0.006661558300636444,1.8782496983989507,0.003546684078434758
4,iid,sgd,0.08,1729,mean,0.7,4656,32768,0.14208984375,0.13832613432569046,0.1459171147727253,0.13610501592554702,0.005984827824452976,0.009812098847178263,1.2074462346850399,0.00812632361203042
4,iid,sgd,0.08,1729,mean,0.95,2487,32768,0.075897216796875,0.07305218937911685,0.07881768811735226,0.06809560300181894,0.0078016137950560616,0.010722085115533325,0.8896972255573977,0.012051386480176904
4,iid,sgd,0.08,1729,mean,1.2,1166,32768,0.03558349609375,0.033603730686529054,0.037646123920941826,0.029900092976545944,0.0056834031172040556,0.007746030944395882,0.7043436368996066,0.010997516749767927
4,iid,sgd,0.08,1729,alternating,0.45,8086,32768,0.24676513671875,0.24210448983804983,0.251470710428138,0.24014102836435636,0.006624108354393643,0.011329682063781654,1.8782496983989507,0.006032042530574743
4,iid,sgd,0.08,1729,alternating,0.7,4770,32768,0.14556884765625,0.1417665979328278,0.14943403779529588,0.13610501592554702,0.009463831730702976,0.013329021869748853,1.2074462346850399,0.011039018953275135
4,iid,sgd,0.08,1729,alternating,0.95,2458,32768,0.07501220703125,0.07218266024799412,0.0779173579983158,0.06809560300181894,0.0069166040294310616,0.00982175499649686,0.8896972255573977,0.011039435343123053
4,iid,sgd,0.08,1729,alternating,1.2,1135,32768,0.034637451171875,0.032683642771180875,0.03667430153940796,0.029900092976545944,0.0047373581953290556,0.006774208562862018,0.7043436368996066,0.009617760717880352
4,iid,linear,0.08,1729,axis_0,0.45,9771,32768,0.298187255859375,0.293236946221679,0.3031733605683617,0.29720815768556674,0.0009790981738082571,0.005965202882794951,1.8782496983989507,0.003175937090728556
4,iid,linear,0.08,1729,axis_0,0.7,6799,32768,0.207489013671875,0.2031092332146746,0.21192070311176822,0.2037641352509022,0.003724878420972799,0.00815656786086602,1.2074462346850399,0.006755222407889364
4,iid,linear,0.08,1729,axis_0,0.95,4500,32768,0.1373291015625,0.1336193839025959,0.14110323119664947,0.13049481332680246,0.006834288235697539,0.010608417869847009,0.8896972255573977,0.011923627010526875
4,iid,linear,0.08,1729,axis_0,1.2,2859,32768,0.087249755859375,0.0842156858313657,0.09035721877365496,0.07782434558402673,0.009425410275348267,0.01253287318962823,0.7043436368996066,0.017793691222647616
4,iid,linear,0.08,1729,axis_3,0.45,8555,32768,0.261077880859375,0.2563283394617786,0.26586980647549585,0.26225914010653817,0.0011812592471631689,0.005930800644759593,1.8782496983989507,0.003157620975429997
4,iid,linear,0.08,1729,axis_3,0.7,5417,32768,0.165313720703125,0.16130628274513117,0.16938057696090436,0.16109940308129078,0.004214317621834218,0.00828117387961358,1.2074462346850399,0.006858420393164511
4,iid,linear,0.08,1729,axis_3,0.95,3206,32768,0.09783935546875,0.09464305966127452,0.10110713770084877,0.08955459636336105,0.00828475910538895,0.011552541337487718,0.8896972255573977,0.012984800902632937
4,iid,linear,0.08,1729,axis_3,1.2,1716,32768,0.0523681640625,0.04998067376668072,0.054835388617436726,0.04484301088518228,0.007525153177317723,0.009992377732254448,0.7043436368996066,0.014186793503578864
4,iid,linear,0.08,1729,mean,0.45,8646,32768,0.26385498046875,0.2590889601903503,0.2686628917126054,0.26246134653937636,0.0013936339293736388,0.006201545173229017,1.8782496983989507,0.0033017682252340095
