claim,noise,model,alpha,seed,direction,threshold,exceedances,sample_size,empirical_tail,empirical_tail_cp95_low,empirical_tail_cp95_high,gaussian_tail,gap,gap_upper95,theorem_rate,normalized_upper
5,markov,sgd,0.08,1729,axis_0,0.45,11400,32768,0.347900390625,0.34274167613369394,0.353086078349834,0.37247556690636774,0.02457517628136774,0.0297338907726738,1.8782496983989507,0.015830637852900724
5,markov,sgd,0.08,1729,axis_0,0.7,9542,32768,0.29119873046875,0.2862831147815351,0.29615138180736933,0.30641843457937845,0.015219704110628451,0.020135319797843332,1.2074462346850399,0.016675955599046274
5,markov,sgd,0.08,1729,axis_0,0.95,7816,32768,0.238525390625,0.23391903383212317,0.2431781383914616,0.24611934532395208,0.007593954698952077,0.012200311491828902,0.8896972255573977,0.013712880226399913
5,markov,sgd,0.08,1729,axis_0,1.2,6279,32768,0.191619873046875,0.187370698237977,0.19592378056363832,0.19284038841101792,0.0012205153641429156,0.005469690173040914,0.7043436368996066,0.007765655692039048
5,markov,sgd,0.08,1729,axis_3,0.45,10772,32768,0.3287353515625,0.32364925793927257,0.33385181878449105,0.3521093892282766,0.023374037665776615,0.028460131289004043,1.8782496983989507,0.015152474835089233
5,markov,sgd,0.08,1729,axis_3,0.7,8654,32768,0.26409912109375,0.25933166382005685,0.2689084259712969,0.2774149081187677,0.013315787025017678,0.018083244298710832,1.2074462346850399,0.014976438518960484
5,markov,sgd,0.08,1729,axis_3,0.95,6776,32768,0.206787109375,0.20241288293200937,0.21121336965863646,0.21143708379782966,0.004649974422829661,0.009024200865820287,0.8896972255573977,0.010143002143416374
5,markov,sgd,0.08,1729,axis_3,1.2,5169,32768,0.157745361328125,0.15381396446351794,0.1617375259251482,0.15568504022228957,0.0020603211058354276,0.006052485702858629,0.7043436368996066,0.008593086365485713
5,markov,sgd,0.08,1729,mean,0.45,11131,32768,0.339691162109375,0.3345624060748878,0.34484834782782464,0.35185295863554567,0.012161796526170665,0.017290552560657868,1.8782496983989507,0.009205673013229606
5,markov,sgd,0.08,1729,mean,0.7,8681,32768,0.264923095703125,0.2601508024622935,0.26973709020393777,0.27705487468688905,0.012131778983764052,0.016904072224595557,1.2074462346850399,0.013999855015494708
5,markov,sgd,0.08,1729,mean,0.95,6532,32768,0.1993408203125,0.19502676607260327,0.20370823318024295,0.21101528766159028,0.011674467349090278,0.015988521588987004,0.8896972255573977,0.01797074457433556
5,markov,sgd,0.08,1729,mean,1.2,4712,32768,0.143798828125,0.14001609187165828,0.14764482080937283,0.15524515316610832,0.011446325041108318,0.015229061294450036,0.7043436368996066,0.0216216353731619
5,markov,sgd,0.08,1729,alternating,0.45,11295,32768,0.344696044921875,0.339548821821002,0.34987080974647283,0.35185295863554567,0.007156913713670665,0.012304136814543676,1.8782496983989507,0.006550852543744271
5,markov,sgd,0.08,1729,alternating,0.7,8797,32768,0.268463134765625,0.26367030728126306,0.273297034799865,0.27705487468688905,0.008591739921264052,0.013384567405625991,1.2074462346850399,0.011085021445379165
5,markov,sgd,0.08,1729,alternating,0.95,6584,32768,0.200927734375,0.1966006624677826,0.2053078825457368,0.21101528766159028,0.010087553286590278,0.014414625193807679,0.8896972255573977,0.016201719843261145
5,markov,sgd,0.08,1729,alternating,1.2,4686,32768,0.14300537109375,0.13923144580143196,0.14684269449587314,0.15524515316610832,0.012239782072358318,0.01601370736467636,0.7043436368996066,0.022735645678813553
5,markov,linear,0.08,1729,axis_0,0.45,11906,32768,0.36334228515625,0.3581317708785146,0.36857703329813607,0.38709788713505733,0.023755601978807328,0.028966116256542718,1.8782496983989507,0.015421866582081119
5,markov,linear,0.08,1729,axis_0,0.7,10191,32768,0.311004638671875,0.30599426780264577,0.31604852962265495,0.3276993408271379,0.01669470215526292,0.02170507302449215,1.2074462346850399,0.01797601615789864
5,markov,linear,0.08,1729,axis_0,0.95,8595,32768,0.262298583984375,0.2575417689262472,0.26709756644311117,0.2723706743188794,0.010072090334504402,0.014828905392632208,0.8896972255573977,0.0166673616221989
5,markov,linear,0.08,1729,axis_0,1.2,7083,32768,0.216156005859375,0.21170927073711476,0.22065310849885095,0.22212306122319458,0.0059670553638195845,0.010413790486079821,0.7043436368996066,0.01478509911996855
5,markov,linear,0.08,1729,axis_3,0.45,11187,32768,0.341400146484375,0.3362650132032094,0.3465634062389897,0.365836716895382,0.024436570411006997,0.029571703692172602,1.8782496983989507,0.015744287736279144
5,markov,linear,0.08,1729,axis_3,0.7,9228,32768,0.2816162109375,0.2767504650888481,0.2865206937084279,0.29687817417562234,0.015261963238122345,0.020127709086774248,1.2074462346850399,0.016669652452081664
5,markov,linear,0.08,1729,axis_3,0.95,7444,32768,0.2271728515625,0.2226452022591185,0.23174890962275776,0.2345633427670446,0.0073904912045446025,0.011918140507926112,0.8896972255573977,0.01339572628256693
